11100110  11100110
00101110  00101110
10011011  10011011
00101001  00101001
00010010  00110001
01010000  01010000
00100001  00110001
01101100  00100010
01001010  01001010
10101101  10101101
00011010  00011010
11111000  11111000
10011011  10011011
11011110  00010011
11110100  11110100
00001110  00001110
11110000  11110000
11111010  11111010
00000100  00000100
00100001  00110001
11000010  11000010
11110101  11110101
01001011  01001011
10011000  10011000
10010101  00100010
01010111  01010111
10111100  10111100
00101110  00101110
11100101  11100101
11101111  11101111
11010110  11010110
10000011  10000011
00001111  00001111
10001001  10001001
00110001  00110001
00011110  00011110
11110000  11110000
11100111  00010011
01000001  00110001
10001010  10001010
10111011  00010011
10101111  10101111
11010010  11010010
10110001  10110001
00100110  00100110
00011101  00011101
10100110  00100010
11010011  11010011
11110111  11110111
11101000  11101000
01111000  01111000
01100111  01100111
00000101  00000101
10001101  10001101
00101101  00101101
11000000  11000000
10101001  00100010
10100011  00100010
11000100  11000100
00000010  00000010
10110101  10110101
00001010  00001010
11001100  00100010
11000001  11000001
00010111  00010111
01111110  00010011
10110101  10110101
00110100  00110100
10100110  00100010
00101101  00101101
00010000  00010000
01110110  01110110
10011100  00100010
11001001  00100010
11101010  11101010
11010111  00010011
01001011  01001011
01101101  01101101
10000011  10000011
00011110  00011110
00001010  00001010
10111000  10111000
01101010  00100010
01010011  00100010
00010100  00110001
10110110  10110110
11100110  11100110
11110110  11110110
10101111  10101111
10001111  10001111
00100101  00100101
10101111  10101111
00001100  00001100
01000100  00110001
11111001  11111001
01010011  00100010
01010011  00100010
01011110  01011110
10111010  10111010
00001011  00001011
